,Y,X1,X2,X3,X4,X5,X6,X7,X8
3983,-0.12497233362513205,-0.12529259272537818,-0.12561858557503602,-0.12588672223608366,-0.12597995642612658,-0.12587247566595994,-0.12553438554119367,-0.12506839318844787,-0.12456539218920493
2711,-0.1168011076273725,-0.10309595965096618,-0.09431478969022788,-0.09363755157447029,-0.10225785509335505,-0.11773978329046642,-0.13426837870843666,-0.14685704648277131,-0.15214840690371834
2564,-0.12500711204816184,-0.12504715045330927,-0.1250741468214842,-0.1250540697313719,-0.12503049988001091,-0.12499753354007592,-0.12500847537077608,-0.12504720063847574,-0.1251401267604768
602,-0.17132755807383637,-0.1691125503909534,-0.15390955208547552,-0.13075177767634172,-0.10706031073221511,-0.09038181593751793,-0.08624077935158359,-0.09472509805765339,-0.11189527162404722
4357,-0.12496873937010755,-0.12459718445135048,-0.1242550796447861,-0.12405297068965426,-0.12401264647769639,-0.1242042834116891,-0.12459953272562696,-0.12516902292337373,-0.12576426671685514
677,-0.12911626684127786,-0.12819182638202686,-0.12657955207624882,-0.12471154582501764,-0.12299459136722957,-0.1218398397665994,-0.12146341670792393,-0.1219542438385991,-0.12309697149923882
919,-0.08504140345196376,-0.10086517076831314,-0.12650607433057426,-0.15605099361662045,-0.18124553160610613,-0.19411197583854956,-0.18936667725302658,-0.16643421211083553,-0.12989561744538014
1417,-0.0965172890903927,0.11368506272530232,0.3080923891082026,0.4198374248255099,0.3901041485961052,0.19745176167871836,-0.12947693038361907,-0.5116627980020878,-0.8379198178526975
3535,0.01782422578519105,0.004516668923971068,-0.0517078587842047,-0.1396941393050236,-0.2345483398191469,-0.30751821037189975,-0.3334231845203254,-0.29889733703312216,-0.2087924628453719
241,0.08424174174061361,0.028371914678304577,-0.06380248674277722,-0.14585860174046872,-0.1896184633488296,-0.18793366324871874,-0.15331204696293244,-0.11647625886200474,-0.09227985218100332
2806,-0.25648719249993035,-0.24851634002157663,-0.2079394954193141,-0.14445850642880953,-0.074271979925702,-0.014469431587745052,0.019035433808025637,0.01659595077090592,-0.012983687570989
906,-0.06505464914585646,-0.10446735863573153,-0.14685515747467126,-0.18111484579400527,-0.1987639408980154,-0.19671080203101288,-0.17747254567979542,-0.14781891785848145,-0.11658001971790055
3650,-0.12484483326780538,-0.12502050242754137,-0.12520891959365366,-0.1253247799036471,-0.12538292588596112,-0.12535399161934013,-0.12528568414034602,-0.12516703518092254,-0.1250628926490177
2541,-0.12544330981191365,-0.1254469885877908,-0.12541181398307932,-0.1253936535143877,-0.12537776641412968,-0.125398160760669,-0.12543538550082678,-0.12550098526804476,-0.12550856421496648
3368,-0.10961721801423607,-0.11222658192884394,-0.11855317545325728,-0.12659685475674565,-0.13392607079082985,-0.13833059446141127,-0.13856596347271166,-0.13470037502228482,-0.12813024759406622
4127,-0.1358732472188766,-0.14034868055486593,-0.138531968936211,-0.1310345558782946,-0.1205670407076086,-0.11081893953664268,-0.10593176645610591,-0.10827332842268989,-0.11713642704866323
744,-0.12478402960365131,-0.1249596140041127,-0.12522748160167352,-0.12547695737416353,-0.12565198747326545,-0.1256578701780372,-0.125505444105949,-0.12519986601731414,-0.12485036233200641
2515,-0.11958515920757551,-0.11927101757411995,-0.12028411246399473,-0.12247455647781991,-0.12534997680075521,-0.12828535041158085,-0.13053599029230478,-0.13156272455680484,-0.13106423526777877
