,Y,X1,X2,X3,X4,X5,X6,X7,X8
1674,-0.1531282141857231,-0.02109518642143371,-0.19125980794571884,-0.04486077974646352,-0.12057476990451177,-0.13462749264410379,-0.045648559001806976,-0.1699911879570566,-0.05716593795207636
1945,-0.10526311535117516,-0.10532447824363589,-0.10360602612402947,-0.10645402840559948,-0.10381015146592365,-0.10476904757365124,-0.10640614025550732,-0.10231407509864932,-0.1075077141634172
3376,-0.10533449859562483,-0.10474882474088665,-0.10456934900654069,-0.10553574267841648,-0.10408458630689832,-0.1054943177432891,-0.10472736735003352,-0.10439334438676795,-0.10586127538214363
461,-0.10444556178445896,-0.10503552556794304,-0.1050588964610304,-0.10453944100418666,-0.10534172308227063,-0.10457491410941688,-0.10486191768470154,-0.10534754199535434,-0.10406378775571434
2724,-0.1007960011503275,-0.10805802380685814,-0.10327205664311367,-0.10510056024607861,-0.10580318815972256,-0.1026499893706414,-0.10821007232518909,-0.10149827072910877,-0.10738450016381007
3103,-0.08316302701324207,-0.11654412101651801,-0.10968706489192404,-0.08319603396174036,-0.13317377894960503,-0.08126911850710183,-0.11668548611716723,-0.10753030616290793,-0.0905787750978102
3308,-0.10494279553293773,-0.10483523314165522,-0.10490607977996369,-0.10485148845874259,-0.10491985820200411,-0.10480625724463122,-0.104968097219172,-0.10477835649926792,-0.10497007724790719
809,-0.10435356120976014,-0.10533453134551285,-0.10457248396663033,-0.10501534228428888,-0.10489720204317754,-0.10474548173940723,-0.10507251808534956,-0.10467658337999208,-0.10501918600903482
2080,-0.10395464968634249,-0.10565298483294405,-0.10249909926830025,-0.11000673790994142,-0.09838496225149329,-0.11112691582333112,-0.10152103463876738,-0.10351283143814793,-0.11172169684280742
2969,-0.10478201808623266,-0.10499178199758452,-0.10477036760657255,-0.10495818128096246,-0.10483242183745267,-0.10488971808810887,-0.10487639382410108,-0.1048973234174706,-0.10482618596173343
