,Y,X1,X2,X3,X4,X5,X6
700,-0.049752471099730355,-0.05077643125226161,-0.049842682130706084,-0.048395279827256665,-0.04908963435567726,-0.05073741576517743,-0.050453590942906135
353,-0.049595546288193515,-0.04972088192548818,-0.049732860720305694,-0.049629337619010894,-0.049575579033826145,-0.04971417660543764,-0.04974272295350102
3264,-0.04977128222921867,-0.04970372166690151,-0.04943364078564916,-0.04948309374604143,-0.05001660646743644,-0.05004138787283752,-0.049275099747919215
4663,-0.04898221262724056,-0.04857229371425964,-0.05011569320276088,-0.05086987211830496,-0.04955712769285259,-0.04860150208845271,-0.04958997945449928
3234,-0.0525686656835922,-0.05834688814922617,-0.04826998793934956,-0.0388646908494551,-0.04857022479751372,-0.06177203575420209,-0.05378822794860472
1656,-0.07368391241670547,-0.005294094605555522,-0.008705884981699774,-0.07636296289999323,-0.09910152091534508,-0.04975532097362678,-0.005198218685760758
2306,-0.05390997265719999,-0.08197940427163553,-0.052549443559166575,-0.02347433962164569,-0.042431821705412265,-0.06984745474187526,-0.05976614434253391
415,-0.05001285304427694,-0.04950157055870186,-0.049524746698046296,-0.04998924039205066,-0.049741728928240136,-0.04924912124408265,-0.04954792167133937
2973,-0.04964775523040055,-0.04970660237828983,-0.04966961749576548,-0.04964792344226088,-0.04966470891142183,-0.049725864638710315,-0.04966417157819081
2068,-0.05996532235432006,-0.0538020453581568,-0.03768722083620191,-0.047605306028075445,-0.0660171437695023,-0.051326611999024,-0.027140464351906424
3635,-0.04971474002201459,-0.04966147375009755,-0.04961691855761008,-0.049720325980225355,-0.049735687977937704,-0.0496475712148613,-0.0495866583850465
4041,-0.04964317119221495,-0.04966828251406108,-0.04969138286457364,-0.04970699520782362,-0.04966190838490192,-0.04966782880904996,-0.04966327485746902
2158,-0.04953671846971852,-0.049676058221901465,-0.049791267182570986,-0.04966139692201188,-0.049569791598778945,-0.049644111946105296,-0.04976486864226248
3422,-0.05193201332093389,-0.055986279777945014,-0.04924385499296968,-0.044071024025356564,-0.04880336485815906,-0.054418793238381946,-0.051683155329590336
2787,-0.07029040960543542,0.016847927947491348,-0.01393010192397337,-0.09890974479867243,-0.09271264141591462,-0.0159303467311267,-0.0020219474087690426
3049,-0.047997401578793175,-0.04124839617177478,-0.04890070163423976,-0.056117905560903236,-0.05167557882077334,-0.04518987581484879,-0.047276542339185657
3363,-0.05169566584645724,-0.05142262809157361,-0.04820067426024943,-0.04726036184737281,-0.050115061396648675,-0.05206839058429713,-0.049957330285165025
