,Y,X1,X2,X3,X4,X5,X6,X7,X8
2063,-0.1295869367443503,-0.1085208826420897,-0.05917430373674293,-0.03494457528337325,-0.0609275807110482,-0.1068883890761787,-0.12408838427659374,-0.09798695774566746,-0.058055084467522944
647,-0.0745815628192874,-0.08623856327515511,-0.09629933386021794,-0.09103426451476426,-0.07330977922428172,-0.06301236070324878,-0.07468582968022375,-0.09773219900332697,-0.10496667297281481
1321,-0.07873656648791605,-0.07909128734885607,-0.0827802066359078,-0.08526455231473562,-0.08368344150657248,-0.08036466550321075,-0.07897991390637371,-0.08025207900154907,-0.08302786945043295
4692,-0.07725153956443631,-0.07758682117472149,-0.08299696111515642,-0.08758328542747362,-0.08597755182642852,-0.07937545838850157,-0.07494830456915536,-0.07779985586935434,-0.0849647139845977
1937,-0.08597889575948281,-0.08483513006571342,-0.07989561253554911,-0.0764777374079334,-0.07905824725435107,-0.08557817882590046,-0.08859997979817436,-0.08381093046904164,-0.07574021004475973
4424,-0.08216623589786431,-0.08269081172336734,-0.08231111782959899,-0.08154505562311931,-0.08128440909512347,-0.0816591002887248,-0.08215303015882403,-0.0822298386582404,-0.08199083322048994
2036,-0.07693034983685554,-0.12483038168071303,-0.12552073720556756,-0.07321270791459644,-0.0271130916027591,-0.04385659804642572,-0.10808438708690338,-0.1450980298249066,-0.10843669888865348
3060,-0.06632708886424332,-0.08516603379646226,-0.10252405752459481,-0.09697414578860641,-0.07243522610398723,-0.05615937580475594,-0.06805297093557772,-0.09535134512086552,-0.10616799689967815
3891,-0.07971442987873878,-0.08029665896673288,-0.08267724572129542,-0.08389685541630909,-0.08244391488251701,-0.08008080264453832,-0.07984254546478697,-0.0824000114963136,-0.08450791126985091
1784,-0.0815969335092872,-0.08147952994457996,-0.08186208075114909,-0.08231653062546784,-0.08236683183872506,-0.0818290715792338,-0.08122676400247109,-0.08120319576245694,-0.081961159308094
109,-0.09580756123547163,-0.08964036754064153,-0.07698749395065607,-0.0706504953803615,-0.07548622181862885,-0.08589861591833126,-0.09230021007732725,-0.08923561671397728,-0.07927845082019702
964,-0.04073743838492694,-0.07853162379022016,-0.12601770288203618,-0.12299417349871855,-0.06688325744795875,-0.022217349612007053,-0.04726428039402275,-0.11960268404080154,-0.15460524620333793
449,-0.0872413120973562,-0.08311840636045253,-0.07701403491604764,-0.07619539047856361,-0.0821837306188451,-0.08834768840385354,-0.08706737023009992,-0.0792022694479877,-0.07374605191065875
837,-0.07923119449524552,-0.08038899583301751,-0.08324177946256284,-0.0843745725649645,-0.0825804581071935,-0.08014912279591613,-0.07988027247250395,-0.08200344159266804,-0.083911195308908
