,Y,X1,X2,X3,X4,X5,X6,X7,X8
4077,-0.21867371966568605,-0.21822588141147115,-0.21914082856898343,-0.21859016939997944,-0.21834259096683306,-0.2190971206497604,-0.21846723089488462,-0.21855024675647305,-0.21889493896691337
3308,-0.2187586065853051,-0.21853912429971745,-0.21871508413013496,-0.21870053638578957,-0.21856441072899102,-0.21869877051160203,-0.21871708035399717,-0.21851155501043384,-0.2187991674203933
4669,-0.21989217948655293,-0.21804254781277832,-0.21822400060924596,-0.21956857927773488,-0.21802456322227626,-0.21869092020372238,-0.21933969565004408,-0.2180227398504292,-0.2187703491784625
2787,-0.20546891425397695,-0.20480881597030665,-0.25295096445366405,-0.1837143050546085,-0.2256067735537386,-0.24146772800705507,-0.18492750129527114,-0.23613056012703926,-0.22870285311926142
2586,-0.2186965242296781,-0.2186104335798219,-0.2186967696397032,-0.2186315849922108,-0.21867085790362129,-0.21864253682734758,-0.21867366102484243,-0.21862802579625196,-0.21869681837359178
839,-0.21678746364776702,-0.2194067090109162,-0.21971531928041987,-0.21714008674982577,-0.21944115989945312,-0.21924739192065767,-0.2173663376833741,-0.21950364559261126,-0.21892622243182214
4349,-0.21849455264387518,-0.2187750226025892,-0.2186741378846121,-0.21853048452419976,-0.21876893858275093,-0.2186703916181697,-0.21847454628619534,-0.21885539123025988,-0.21859751356291668
499,-0.21886115805262207,-0.21901126559837591,-0.21782552979070668,-0.21950752019038144,-0.21871480186628822,-0.2174557689161719,-0.22017873618063488,-0.21817819251734527,-0.2173231126157339
3433,-0.21852162477216786,-0.21918174038724225,-0.21815639061741188,-0.21846307575664303,-0.21930300253480983,-0.21786662450646666,-0.2183389638769867,-0.22013673321344362,-0.2176007359794353
2708,-0.21790111775905785,-0.20749067387624243,-0.23145816161681754,-0.21558079918751616,-0.20989248727509846,-0.23114758684409176,-0.21338297272742235,-0.21247387271720342,-0.2299008286403481
275,-0.2276023974166954,-0.22438471481705535,-0.20280770767243939,-0.22999974979102789,-0.21794233533852791,-0.20642028229072884,-0.23974565383090662,-0.20437151396664321,-0.2042303926390049
1239,-0.2116495026045233,-0.2235219285878718,-0.21915468715002173,-0.21467601996094798,-0.22225993634193641,-0.21787964921643377,-0.2167908637246495,-0.2208293714106,-0.21737146136922914
2537,-0.2187902254990267,-0.21860242402806007,-0.21859207773261047,-0.21880431392029176,-0.21852149067022375,-0.21870255691192475,-0.2187148106408584,-0.21853592090946183,-0.21872652576304863
2232,-0.21871759395827473,-0.21868633233906742,-0.21859896403303658,-0.2186710532339151,-0.21870756451432827,-0.21855775314389547,-0.21873990914293695,-0.21859961648213255,-0.2186612532247395
363,-0.21867193496330284,-0.21861845427544735,-0.2186472672543709,-0.21872818442638364,-0.21856412846582896,-0.2186956167471189,-0.21868088175677303,-0.21862052981038993,-0.21863700344199044
4054,-0.21850116935378527,-0.2187096675514476,-0.21879560170249424,-0.21843660349173555,-0.21880134317159217,-0.21869936006935575,-0.21852006151989145,-0.21874926745616619,-0.2187160577617241
188,-0.19399641026479675,-0.25646551854298605,-0.1996784115144682,-0.2011974351985839,-0.2556984997957753,-0.19424282265671977,-0.21214555447961714,-0.24803780357493488,-0.19233802034895675
343,-0.2186571757655238,-0.2188473439737304,-0.2184009869899246,-0.21875933586003837,-0.21877150741272844,-0.21842690531609144,-0.21877180436523802,-0.2187810683810395,-0.21833733600933236
2476,-0.220449779706135,-0.21639304253790492,-0.21940419249984855,-0.22092140792022963,-0.21496811171575558,-0.22018516817076406,-0.22153126791588518,-0.21355349912450794,-0.22194734262534765
65,-0.21599270246257973,-0.2202489101217806,-0.2186703479947042,-0.2171275983018649,-0.22042746269946323,-0.21848127575886023,-0.21755174350504203,-0.22011927989842794,-0.2181033292232718
4123,-0.2203147648309891,-0.21607568486814277,-0.21935022601356968,-0.22038331637856723,-0.21554645274108664,-0.220370849622047,-0.2196043113393218,-0.21615361622227225,-0.22128143110754173
1791,-0.218735425172925,-0.21878399376436497,-0.21840247688963232,-0.2188695579224743,-0.21866807434719404,-0.21843179196452245,-0.21890855349222094,-0.21862131430120868,-0.21840209208302386
